Date,Reasons_for_high_or_low_prediction,Type_of_Day,Actual_New,Actual_Review,Actual_Total,Month_Number,Month_Name,Year,Day,Day_Of_Week
2019-01-01,New year,2.0,70,78,148,1,January,2019,1,1
2019-01-02,,0.0,135,201,336,1,January,2019,2,2
2019-01-03,,0.0,167,273,440,1,January,2019,3,3
2019-01-04,,0.0,140,215,355,1,January,2019,4,4
2019-01-05,Amavasai,1.0,150,190,340,1,January,2019,5,5
2019-01-06,,0.0,6,1,7,1,January,2019,6,6
2019-01-07,,0.0,192,225,417,1,January,2019,7,0
2019-01-08,,0.0,135,234,369,1,January,2019,8,1
2019-01-09,,0.0,118,170,288,1,January,2019,9,2
2019-01-10,,0.0,107,189,296,1,January,2019,10,3
2019-01-11,,0.0,99,183,282,1,January,2019,11,4
2019-01-12,,0.0,156,232,388,1,January,2019,12,5
2019-01-13,,0.0,5,2,7,1,January,2019,13,6
2019-01-14,Bogi,3.0,165,209,374,1,January,2019,14,0
2019-01-15,Thai pongal,3.0,53,26,79,1,January,2019,15,1
2019-01-16,Mattu pongal,3.0,165,137,302,1,January,2019,16,2
2019-01-17,,0.0,148,114,262,1,January,2019,17,3
2019-01-18,,0.0,235,262,497,1,January,2019,18,4
2019-01-19,,0.0,210,272,482,1,January,2019,19,5
2019-01-20,,0.0,2,2,4,1,January,2019,20,6
2019-01-21,,0.0,187,236,423,1,January,2019,21,0
2019-01-22,,0.0,151,234,385,1,January,2019,22,1
2019-01-23,,0.0,180,242,422,1,January,2019,23,2
2019-01-24,,0.0,156,238,394,1,January,2019,24,3
2019-01-25,,0.0,129,229,358,1,January,2019,25,4
2019-01-26,Republic day,2.0,222,266,488,1,January,2019,26,5
2019-01-27,,0.0,4,2,6,1,January,2019,27,6
2019-01-28,Ashtami,1.0,208,220,428,1,January,2019,28,0
2019-01-29,,0.0,165,260,425,1,January,2019,29,1
2019-01-30,Navami,1.0,144,217,361,1,January,2019,30,2
2019-01-31,,0.0,176,217,393,1,January,2019,31,3
2019-02-01,SUBHA MUHOORTHAM,1.0,138,204,342,2,February,2019,1,4
2019-02-02,,0.0,195,287,482,2,February,2019,2,5
2019-02-03,,0.0,12,9,21,2,February,2019,3,6
2019-02-04,AMMAVASAI,1.0,192,263,455,2,February,2019,4,0
2019-02-05,,0.0,169,255,424,2,February,2019,5,1
2019-02-06,,0.0,176,273,449,2,February,2019,6,2
2019-02-07,,0.0,159,306,465,2,February,2019,7,3
2019-02-08,,0.0,190,271,461,2,February,2019,8,4
2019-02-09,,0.0,237,314,551,2,February,2019,9,5
2019-02-10,,0.0,10,18,28,2,February,2019,10,6
2019-02-11,ASHTAMI,1.0,245,236,481,2,February,2019,11,0
2019-02-12,NAVAMI,1.0,172,236,408,2,February,2019,12,1
2019-02-13,,0.0,193,262,455,2,February,2019,13,2
2019-02-14,SUBHA MUHOORTHAM,1.0,160,263,423,2,February,2019,14,3
2019-02-15,SUBHA MUHOORTHAM,1.0,118,215,333,2,February,2019,15,4
2019-02-16,,0.0,190,268,458,2,February,2019,16,5
2019-02-17,,0.0,5,18,23,2,February,2019,17,6
2019-02-18,SUBHA MUHOORTHAM,1.0,217,231,448,2,February,2019,18,0
2019-02-19,,0.0,164,247,411,2,February,2019,19,1
2019-02-20,,0.0,159,295,454,2,February,2019,20,2
2019-02-21,,0.0,177,304,481,2,February,2019,21,3
2019-02-22,SUBHA MUHOORTHAM,1.0,166,232,398,2,February,2019,22,4
2019-02-23,,0.0,236,266,502,2,February,2019,23,5
2019-02-24,SUBHA MUHOORTHAM,1.0,9,16,25,2,February,2019,24,6
2019-02-25,ASHTAMI,1.0,255,262,517,2,February,2019,25,0
2019-02-26,NAVAMI,1.0,173,251,424,2,February,2019,26,1
