Date      ,Day       ,OPD Seen-Sept-2019_New ,OPD Seen-Sept-2019_Review ,OPD Seen-Sept-2019_Total ,Date       ,Day       ,OPD Seen-Sept-2022_New ,OPD Seen-Sept-2022_Review ,OPD Seen-Sept-2022_Total ,Date       ,Day       ,OPD Seen-Sept-2023_New ,OPD Seen-Sept-2023_Review ,OPD Seen-Sept-2023_Total ,Growth(%)_New (%) ,Growth(%)_Review(%) ,Growth(%)_Total(%) ,Determinants if any which can affect the volume ,Type of Day       ,Date       ,Day       ,Reasons for high or low prediction ,Type of Day
8/29/2019 ,Thursday  ,                   140 ,                      240 ,                     380 ,01-09-2022 ,Thursday  ,                   126 ,                      205 ,                     331 ,31-08-2023 ,Thursday  ,                   162 ,                      274 ,                     436 ,29%               ,34%                 ,32%                ,                                                ,                  ,           ,          ,                                   ,
8/30/2019 ,Friday    ,                   143 ,                      216 ,                     359 ,02-09-2022 ,Friday    ,                   126 ,                      255 ,                     381 ,01-09-2023 ,Friday    ,                   146 ,                      262 ,                     408 ,16%               ,3%                  ,7%                 ,                                                ,                  ,30-08-2024 ,Friday    ,                                   ,
8/31/2019 ,Saturday  ,                   142 ,                      223 ,                     365 ,03-09-2022 ,Saturday  ,                   152 ,                      260 ,                     412 ,02-09-2023 ,Saturday  ,                   193 ,                      334 ,                     527 ,27%               ,28%                 ,28%                ,                                                ,                  ,31-08-2024 ,Saturday  ,                                   ,
9/1/2019  ,Sunday    ,                     9 ,                       20 ,                      29 ,04-09-2022 ,Sunday    ,                     8 ,                       24 ,                      32 ,03-09-2023 ,Sunday    ,                    14 ,                       29 ,                      43 ,75%               ,21%                 ,34%                ,SUBA MUHOORTHAM                                 ,Auspecious        ,01-09-2024 ,Sunday    ,                                   ,
9/2/2019  ,Monday    ,                   186 ,                      189 ,                     375 ,05-09-2022 ,Monday    ,                   166 ,                      246 ,                     412 ,04-09-2023 ,Monday    ,                   215 ,                      314 ,                     529 ,30%               ,28%                 ,28%                ,                                                ,                  ,02-09-2024 ,Monday    ,AMMAVASAI                          ,Auspecious
9/3/2019  ,Tuesday   ,                   159 ,                      195 ,                     354 ,06-09-2022 ,Tuesday   ,                   169 ,                      293 ,                     462 ,05-09-2023 ,Tuesday   ,                   180 ,                      303 ,                     483 ,7%                ,3%                  ,5%                 ,                                                ,                  ,03-09-2024 ,Tuesday   ,PATTIYAM                           ,Auspecious
9/4/2019  ,Wednesday ,                   129 ,                      211 ,                     340 ,07-09-2022 ,Wednesday ,                   124 ,                      246 ,                     370 ,06-09-2023 ,Wednesday ,                   251 ,                      381 ,                     632 ,102%              ,55%                 ,71%                ,Krishnan Jayanthi                               ,National_Holidays ,04-09-2024 ,Wednesday ,                                   ,
9/5/2019  ,Thursday  ,                   154 ,                      266 ,                     420 ,08-09-2022 ,Thursday  ,                   123 ,                      214 ,                     337 ,07-09-2023 ,Thursday  ,                   141 ,                      300 ,                     441 ,15%               ,40%                 ,31%                ,Navami                                          ,Auspecious        ,05-09-2024 ,Thursday  ,SUBA MUHOORTHAM                    ,Auspecious
9/6/2019  ,Friday    ,                   131 ,                      261 ,                     392 ,09-09-2022 ,Friday    ,                   129 ,                      275 ,                     404 ,08-09-2023 ,Friday    ,                   141 ,                      276 ,                     417 ,9%                ,0%                  ,3%                 ,                                                ,                  ,06-09-2024 ,Friday    ,SUBA MUHOORTHAM                    ,Auspecious
9/7/2019  ,Saturday  ,                   151 ,                      210 ,                     361 ,10-09-2022 ,Saturday  ,                   197 ,                      345 ,                     542 ,09-09-2023 ,Saturday  ,                   201 ,                      345 ,                     546 ,2%                ,0%                  ,1%                 ,                                                ,                  ,07-09-2024 ,Saturday  ,VINAYAGAR CHATHURTHI               ,National Holidays
9/8/2019  ,Sunday    ,                     5 ,                       14 ,                      19 ,11-09-2022 ,Sunday    ,                     8 ,                       26 ,                      34 ,10-09-2023 ,Sunday    ,                    10 ,                       40 ,                      50 ,25%               ,54%                 ,47%                ,SUBA MUHOORTHAM                                 ,Auspecious        ,08-09-2024 ,Sunday    ,SUBA MUHOORTHAM                    ,Auspecious
9/9/2019  ,Monday    ,                   208 ,                      238 ,                     446 ,12-09-2022 ,Monday    ,                   222 ,                      251 ,                     473 ,11-09-2023 ,Monday    ,                   238 ,                      274 ,                     512 ,7%                ,9%                  ,8%                 ,SUBA MUHOORTHAM                                 ,Auspecious        ,09-09-2024 ,Monday    ,                                   ,
9/10/2019 ,Tuesday   ,                   146 ,                      209 ,                     355 ,13-09-2022 ,Tuesday   ,                   178 ,                      314 ,                     492 ,12-09-2023 ,Tuesday   ,                   205 ,                      340 ,                     545 ,15%               ,8%                  ,11%                ,                                                ,                  ,10-09-2024 ,Tuesday   ,                                   ,
9/11/2019 ,Wednesday ,                   213 ,                      297 ,                     510 ,14-09-2022 ,Wednesday ,                   157 ,                      270 ,                     427 ,13-09-2023 ,Wednesday ,                   176 ,                      272 ,                     448 ,12%               ,1%                  ,5%                 ,SUBA MUHOORTHAM                                 ,Auspecious        ,11-09-2024 ,Wednesday ,                                   ,
9/12/2019 ,Thursday  ,                   119 ,                      199 ,                     318 ,15-09-2022 ,Thursday  ,                   143 ,                      269 ,                     412 ,14-09-2023 ,Thursday  ,                   193 ,                      306 ,                     499 ,35%               ,14%                 ,21%                ,AMMAVASAI                                       ,Auspecious        ,12-09-2024 ,Thursday  ,                                   ,
9/13/2019 ,Friday    ,                   162 ,                      250 ,                     412 ,16-09-2022 ,Friday    ,                   156 ,                      257 ,                     413 ,15-09-2023 ,Friday    ,                   139 ,                      281 ,                     420 ,-11%              ,9%                  ,2%                 ,PATTIYAM                                        ,Auspecious        ,13-09-2024 ,Friday    ,                                   ,
9/14/2019 ,Saturday  ,                   217 ,                      277 ,                     494 ,17-09-2022 ,Saturday  ,                   157 ,                      287 ,                     444 ,16-09-2023 ,Saturday  ,                   189 ,                      281 ,                     470 ,20%               ,-2%                 ,6%                 ,                                                ,                  ,14-09-2024 ,Saturday  ,                                   ,
9/15/2019 ,Sunday    ,                     5 ,                       24 ,                      29 ,18-09-2022 ,Sunday    ,                    14 ,                       20 ,                      34 ,17-09-2023 ,Sunday    ,                    34 ,                       41 ,                      75 ,143%              ,105%                ,121%               ,                                                ,                  ,15-09-2024 ,Sunday    ,"SUBA MUHOORTHAM, ONAM"            ,Auspecious
